event_id,round,player,points,tournament_points,opponent
1,4,John Fischer,144,5,Tyler Szorcsik
1,4,William Gutierrez Gonzalez,400,8,Kale Campagna
1,4,Kale Campagna,190,3,William Gutierrez Gonzalez
1,4,Josh Phipps,60,4,Nicholas Kolker
1,4,Nicholas Kolker,171,7,Josh Phipps
1,4,William Schuman,65,3,Evan Rice
1,4,Evan Rice,249,8,William Schuman
1,4,Timothy Surburg,139,4,Marcus Kubryn
1,4,Marcus Kubryn,264,7,Timothy Surburg
1,4,Ryan Neupert,31,1,Aidan Broome
1,4,Aidan Broome,400,10,Ryan Neupert
1,4,Ian Halterman,400,10,William Brand
1,4,William Brand,0,1,Ian Halterman
1,4,Jeffrey Post,256,4,Matt Somes
1,4,Matt Somes,333,7,Jeffrey Post
1,4,Aaron Ray,262,8,Eric Kingsley
1,4,Eric Kingsley,66,3,Aaron Ray
1,4,Matt Palo,60,3,Jared Eslick-Coats
1,4,Jared Eslick-Coats,238,8,Matt Palo
1,4,Aaron Klingbeil,400,8,William Welch
1,4,William Welch,207,3,Aaron Klingbeil
1,4,Dennis Backofen,159,4,Batlomiej Przybysz
1,4,Batlomiej Przybysz,221,7,Dennis Backofen
1,4,James Godfrey,152,5,Robert Olmsted
1,4,Robert Olmsted,207,6,James Godfrey
1,4,Steve Cornell,400,10,Roy Drum
1,4,Roy Drum,32,1,Steve Cornell
1,4,Joseph Ziebelman,400,9,Daniel Hrobar
1,4,Daniel Hrobar,159,2,Joseph Ziebelman
1,4,Aiden Jablonski,400,10,Dennis Daniels
1,4,Dennis Daniels,0,1,Aiden Jablonski
1,4,Justin Robbins,131,4,Robert Schaefer
1,4,Robert Schaefer,243,7,Justin Robbins
1,4,Jacob Amos-Landgraf,241,7,Adam Klopfenstein
1,4,Adam Klopfenstein,123,4,Jacob Amos-Landgraf
1,4,Andrew Koltun,0,4,Tom Kolker
1,4,Tom Kolker,112,7,Andrew Koltun
1,4,Greg Goodwin,92,4,Steve Smaha
1,4,Steve Smaha,231,7,Greg Goodwin
1,4,Josiah Nelson,56,3,Christopher Cottrill
1,4,Christopher Cottrill,220,8,Josiah Nelson
1,4,Ricardo Marmolejo,249,8,Atticus Rampson
1,4,Atticus Rampson,64,3,Ricardo Marmolejo
1,4,Mitchell Trantham,140,8,
2,1,Robin Sather,160,2,Joseph Morton
2,1,Joseph Morton,400,9,Robin Sather
2,1,Samuel Simon,70,6,Kevin Leintz
2,1,Kevin Leintz,51,5,Samuel Simon
2,1,Nicholas Brown,219,6,Kyle Campagna
2,1,Kyle Campagna,176,5,Nicholas Brown
2,1,Paul Adler,129,5,Mackenzie Dalla Lana
2,1,Mackenzie Dalla Lana,173,6,Paul Adler
2,1,Greg Fyfe,118,4,Ryan Becker
2,1,Ryan Becker,231,7,Greg Fyfe
2,1,Jerzy Frączek,44,3,Christopher Fritz
2,1,Christopher Fritz,191,8,Jerzy Frączek
2,1,Joshua Fletcher,133,5,Royce Podeszwa
2,1,Royce Podeszwa,161,6,Joshua Fletcher
2,1,Justin Schoonmaker,95,6,Sean Newman
2,1,Sean Newman,52,5,Justin Schoonmaker
2,1,Jordan Shettell,400,8,Michael Cox
2,1,Michael Cox,209,3,Jordan Shettell
2,1,Robert Coldwell,26,4,Paul Conrad
2,1,Paul Conrad,134,7,Robert Coldwell
2,1,Jacek Klopotowski,91,7,Scott Bellamy
2,1,Scott Bellamy,23,4,Jacek Klopotowski
2,1,Samuel Wang,31,6,Benjamin Baldwin
2,1,Benjamin Baldwin,25,5,Samuel Wang
2,1,Patrick Doupe,56,6,Andrew Armbruster
2,1,Andrew Armbruster,43,5,Patrick Doupe
2,1,Aron Huckaba,30,3,Nicholas Larson
2,1,Nicholas Larson,213,8,Aron Huckaba
2,1,Andrew Preyer,26,5,Adam Newton
2,1,Adam Newton,75,6,Andrew Preyer
2,1,Colin Looney,362,9,Justin Preyer
2,1,Justin Preyer,126,2,Colin Looney
2,1,Daniel Allen,224,8,Kyle Holt
2,1,Kyle Holt,29,3,Daniel Allen
2,1,Andrew Sackett,30,5,James McCartney
2,1,James McCartney,38,6,Andrew Sackett
2,1,Matthew Ansley,208,6,Joshua Gorhau
2,1,Joshua Gorhau,201,5,Matthew Ansley
2,1,Dennis Raschke,76,6,Eric Burtch
2,1,Eric Burtch,65,5,Dennis Raschke
2,1,Matthew Moncrief,95,5,Paul Tomashevskyi
2,1,Paul Tomashevskyi,152,6,Matthew Moncrief
2,1,Daniel Unzeitig,32,6,Damon Jordan
2,1,Damon Jordan,30,5,Daniel Unzeitig
2,1,Rhys Aghatabay,121,7,Jason Dedrick
2,1,Jason Dedrick,55,4,Rhys Aghatabay
2,1,Jason Hughley,355,10,Andrew Graber
2,1,Andrew Graber,20,1,Jason Hughley
2,2,Jason Hughley,135,3,Joseph Morton
2,2,Joseph Morton,294,8,Jason Hughley
2,2,Daniel Allen,9,2,Colin Looney
2,2,Colin Looney,237,9,Daniel Allen
2,2,Jordan Shettell,58,4,Christopher Fritz
2,2,Christopher Fritz,164,7,Jordan Shettell
2,2,Rhys Aghatabay,224,8,Nicholas Larson
2,2,Nicholas Larson,72,3,Rhys Aghatabay
2,2,Jacek Klopotowski,281,7,Ryan Becker
2,2,Ryan Becker,168,4,Jacek Klopotowski
2,2,Paul Conrad,248,2,Paul Tomashevskyi
2,2,Paul Tomashevskyi,500,9,Paul Conrad
2,2,Samuel Simon,46,5,Daniel Unzeitig
2,2,Daniel Unzeitig,100,6,Samuel Simon
2,2,Mackenzie Dalla Lana,119,2,Adam Newton
2,2,Adam Newton,391,9,Mackenzie Dalla Lana
2,2,James McCartney,0,4,Dennis Raschke
2,2,Dennis Raschke,124,7,James McCartney
2,2,Nicholas Brown,11,6,Justin Schoonmaker
2,2,Justin Schoonmaker,0,5,Nicholas Brown
2,2,Matthew Ansley,176,5,Royce Podeszwa
2,2,Royce Podeszwa,218,6,Matthew Ansley
2,2,Patrick Doupe,0,3,Samuel Wang
2,2,Samuel Wang,155,8,Patrick Doupe
2,2,Sean Newman,56,4,Benjamin Baldwin
2,2,Benjamin Baldwin,168,7,Sean Newman
2,2,Joshua Gorhau,183,4,Damon Jordan
2,2,Damon Jordan,322,7,Joshua Gorhau
2,2,Matthew Moncrief,72,4,Andrew Preyer
2,2,Andrew Preyer,179,7,Matthew Moncrief
2,2,Andrew Sackett,190,4,Kyle Campagna
2,2,Kyle Campagna,266,7,Andrew Sackett
2,2,Joshua Fletcher,257,3,Paul Adler
2,2,Paul Adler,460,8,Joshua Fletcher
2,2,Eric Burtch,14,3,Andrew Armbruster
2,2,Andrew Armbruster,229,8,Eric Burtch
2,2,Kevin Leintz,212,7,Scott Bellamy
2,2,Scott Bellamy,148,4,Kevin Leintz
2,2,Jason Dedrick,400,10,Greg Fyfe
2,2,Greg Fyfe,25,1,Jason Dedrick
2,2,Aron Huckaba,400,10,Robert Coldwell
2,2,Robert Coldwell,0,1,Aron Huckaba
2,2,Michael Cox,385,7,Jerzy Frączek
2,2,Jerzy Frączek,263,4,Michael Cox
2,2,Kyle Holt,273,2,Justin Preyer
2,2,Justin Preyer,520,9,Kyle Holt
2,2,Andrew Graber,460,10,Robin Sather
2,2,Robin Sather,26,1,Andrew Graber
2,3,Joseph Morton,114,3,Colin Looney
2,3,Colin Looney,279,8,Joseph Morton
2,3,Rhys Aghatabay,400,10,Paul Tomashevskyi
2,3,Paul Tomashevskyi,25,1,Rhys Aghatabay
2,3,Adam Newton,327,7,Christopher Fritz
2,3,Christopher Fritz,227,4,Adam Newton
2,3,Jason Dedrick,138,7,Samuel Wang
2,3,Samuel Wang,76,4,Jason Dedrick
2,3,Jacek Klopotowski,163,5,Dennis Raschke
2,3,Dennis Raschke,182,6,Jacek Klopotowski
2,3,Paul Adler,103,7,Aron Huckaba
2,3,Aron Huckaba,29,4,Paul Adler
2,3,Andrew Armbruster,29,3,Jason Hughley
2,3,Jason Hughley,172,8,Andrew Armbruster
2,3,Benjamin Baldwin,46,3,Nicholas Brown
2,3,Nicholas Brown,236,8,Benjamin Baldwin
2,3,Daniel Unzeitig,380,10,Kyle Campagna
2,3,Kyle Campagna,0,1,Daniel Unzeitig
2,3,Damon Jordan,475,8,Royce Podeszwa
2,3,Royce Podeszwa,275,3,Damon Jordan
2,3,Andrew Preyer,322,5,Kevin Leintz
2,3,Kevin Leintz,378,6,Andrew Preyer
2,3,Jordan Shettell,0,2,Andrew Graber
2,3,Andrew Graber,254,9,Jordan Shettell
2,3,Justin Preyer,64,6,Matthew Ansley
2,3,Matthew Ansley,29,5,Justin Preyer
2,3,Nicholas Larson,88,6,Samuel Simon
2,3,Samuel Simon,62,5,Nicholas Larson
2,3,Justin Schoonmaker,196,5,Ryan Becker
2,3,Ryan Becker,215,6,Justin Schoonmaker
2,3,James McCartney,240,8,Michael Cox
2,3,Michael Cox,82,3,James McCartney
2,3,Daniel Allen,400,9,Andrew Sackett
2,3,Andrew Sackett,165,2,Daniel Allen
2,3,Matthew Moncrief,294,8,Joshua Gorhau
2,3,Joshua Gorhau,142,3,Matthew Moncrief
2,3,Patrick Doupe,253,8,Sean Newman
2,3,Sean Newman,77,3,Patrick Doupe
2,3,Paul Conrad,253,6,Scott Bellamy
2,3,Scott Bellamy,230,5,Paul Conrad
2,3,Joshua Fletcher,187,5,Eric Burtch
2,3,Eric Burtch,236,6,Joshua Fletcher
2,3,Mackenzie Dalla Lana,355,10,Jerzy Frączek
2,3,Jerzy Frączek,50,1,Mackenzie Dalla Lana
2,3,Robert Coldwell,294,9,Kyle Holt
2,3,Kyle Holt,35,2,Robert Coldwell
2,3,Robin Sather,158,2,Greg Fyfe
2,3,Greg Fyfe,445,9,Robin Sather
2,4,Colin Looney,0,5,Rhys Aghatabay
2,4,Rhys Aghatabay,0,6,Colin Looney
2,4,Adam Newton,75,6,Daniel Unzeitig
2,4,Daniel Unzeitig,24,5,Adam Newton
2,4,Jason Dedrick,40,1,Jason Hughley
2,4,Jason Hughley,365,10,Jason Dedrick
2,4,Paul Adler,246,5,Andrew Graber
2,4,Andrew Graber,258,6,Paul Adler
2,4,Joseph Morton,226,3,Nicholas Brown
2,4,Nicholas Brown,400,8,Joseph Morton
2,4,Christopher Fritz,56,1,Damon Jordan
2,4,Damon Jordan,400,10,Christopher Fritz
2,4,Jacek Klopotowski,450,10,Daniel Allen
2,4,Daniel Allen,136,1,Jacek Klopotowski
2,4,Mackenzie Dalla Lana,125,6,Dennis Raschke
2,4,Dennis Raschke,95,5,Mackenzie Dalla Lana
2,4,James McCartney,259,9,Samuel Wang
2,4,Samuel Wang,39,2,James McCartney
2,4,Kevin Leintz,255,7,Matthew Moncrief
2,4,Matthew Moncrief,194,4,Kevin Leintz
2,4,Justin Preyer,162,8,Aron Huckaba
2,4,Aron Huckaba,0,3,Justin Preyer
2,4,Ryan Becker,415,10,Nicholas Larson
2,4,Nicholas Larson,80,1,Ryan Becker
2,4,Patrick Doupe,184,8,Andrew Preyer
2,4,Andrew Preyer,0,3,Patrick Doupe
2,4,Justin Schoonmaker,190,7,Matthew Ansley
2,4,Matthew Ansley,96,4,Justin Schoonmaker
2,4,Andrew Armbruster,445,10,Paul Tomashevskyi
2,4,Paul Tomashevskyi,84,1,Andrew Armbruster
2,4,Royce Podeszwa,136,1,Samuel Simon
2,4,Samuel Simon,535,10,Royce Podeszwa
2,4,Benjamin Baldwin,0,1,Paul Conrad
2,4,Paul Conrad,305,10,Benjamin Baldwin
2,4,Eric Burtch,284,8,Robert Coldwell
2,4,Robert Coldwell,122,3,Eric Burtch
2,4,Jordan Shettell,138,4,Greg Fyfe
2,4,Greg Fyfe,274,7,Jordan Shettell
2,4,Scott Bellamy,95,1,Michael Cox
2,4,Michael Cox,400,10,Scott Bellamy
2,4,Kyle Campagna,430,9,Joshua Fletcher
2,4,Joshua Fletcher,134,2,Kyle Campagna
2,4,Sean Newman,155,6,Joshua Gorhau
2,4,Joshua Gorhau,153,5,Sean Newman
2,4,Andrew Sackett,344,9,Jerzy Frączek
2,4,Jerzy Frączek,98,2,Andrew Sackett
2,4,Robin Sather,324,9,Kyle Holt
2,4,Kyle Holt,83,2,Robin Sather
3,1,Damon Jordan,78,5,Jason Hughley
3,1,Jason Hughley,124,6,Damon Jordan
3,1,Ryan Becker,46,6,Nicholas Brown
3,1,Nicholas Brown,23,5,Ryan Becker
3,1,Rhys Aghatabay,47,3,Adam Newton
3,1,Adam Newton,213,8,Rhys Aghatabay
3,1,Colin Looney,148,6,Jacek Klopotowski
3,1,Jacek Klopotowski,139,5,Colin Looney
3,2,Adam Newton,17,3,Ryan Becker
3,2,Ryan Becker,172,8,Adam Newton
3,2,Jason Hughley,520,10,Colin Looney
3,2,Colin Looney,0,1,Jason Hughley
3,2,Nicholas Brown,179,4,Damon Jordan
3,2,Damon Jordan,313,7,Nicholas Brown
3,2,Jacek Klopotowski,146,4,Rhys Aghatabay
3,2,Rhys Aghatabay,253,7,Jacek Klopotowski
3,3,Jason Hughley,256,7,Ryan Becker
3,3,Ryan Becker,185,4,Jason Hughley
3,3,Damon Jordan,251,7,Adam Newton
3,3,Adam Newton,147,4,Damon Jordan
3,3,Rhys Aghatabay,81,1,Colin Looney
3,3,Colin Looney,423,10,Rhys Aghatabay
3,3,Jacek Klopotowski,100,5,Nicholas Brown
3,3,Nicholas Brown,122,6,Jacek Klopotowski
