event_id,round,player,points,tournament_points,opponent
1,1,Jakub Charmo,284,9,Joseph Ziebelman
1,1,Joseph Ziebelman,53,2,Jakub Charmo
1,1,Landon Vomastic,47,1,Andrew Sackett
1,1,Andrew Sackett,490,10,Landon Vomastic
1,1,Damon Jordan,290,9,Josiah Nelson
1,1,Josiah Nelson,63,2,Damon Jordan
1,1,Matthew Ansley,400,10,Robert Schaefer
1,1,Robert Schaefer,53,1,Matthew Ansley
1,1,John Fischer,400,9,Adam Momsen
1,1,Adam Momsen,108,2,John Fischer
1,1,Bodhi Lovely,54,6,Scott Bellamy
1,1,Scott Bellamy,44,5,Bodhi Lovely
1,1,Michael Lyssy,93,5,Matthew Chambers
1,1,Matthew Chambers,105,6,Michael Lyssy
1,1,Andrew Graber,160,7,Will Ross
1,1,Will Ross,42,4,Andrew Graber
1,1,Jacek Klopotowski,223,9,Dennis Backofen
1,1,Dennis Backofen,0,2,Jacek Klopotowski
1,1,Paul Heaver,231,5,James Godfrey
1,1,James Godfrey,251,6,Paul Heaver
1,1,Andrew Doty,225,6,Jacob Amos-Landgraf
1,1,Jacob Amos-Landgraf,168,5,Andrew Doty
1,1,Kyle Campagna,140,8,
1,2,Matthew Ansley,158,5,Michael Wright
1,2,Michael Wright,208,6,Matthew Ansley
1,2,Mitchell Fallinger,164,5,Lewis Wright
1,2,Lewis Wright,202,6,Mitchell Fallinger
1,2,Justin Preyer,0,5,Rhys Aghatabay
1,2,Rhys Aghatabay,29,6,Justin Preyer
1,2,Eric Burtch,198,8,Christian Garcia
1,2,Christian Garcia,43,3,Eric Burtch
1,2,Damon Jordan,73,1,Andrew Sackett
1,2,Andrew Sackett,400,10,Damon Jordan
1,2,Jacek Klopotowski,272,9,John Fischer
1,2,John Fischer,23,2,Jacek Klopotowski
1,2,Rob Harrison,0,4,Ryan Becker
1,2,Ryan Becker,127,7,Rob Harrison
1,2,Jakub Charmo,67,2,Patrick Doupe
1,2,Patrick Doupe,354,9,Jakub Charmo
1,2,Kyle Campagna,230,7,Christopher Ernest
1,2,Christopher Ernest,160,4,Kyle Campagna
1,2,Andrew Clarke,48,6,Paul Conrad
1,2,Paul Conrad,48,5,Andrew Clarke
1,2,Kyle Bowen,72,5,Charles White
1,2,Charles White,75,6,Kyle Bowen
1,2,Christopher Fritz,338,9,Drew Hunnicutt
1,2,Drew Hunnicutt,97,2,Christopher Fritz
1,2,James McCartney,40,6,Ian Franklin
1,2,Ian Franklin,0,5,James McCartney
1,2,Joseph Nelligan,205,8,Paul Tomashevskyi
1,2,Paul Tomashevskyi,40,3,Joseph Nelligan
1,2,Adam Newton,179,6,Andrew Preyer
1,2,Andrew Preyer,134,5,Adam Newton
1,2,Robert Podeszwa,167,3,Colin Looney
1,2,Colin Looney,325,8,Robert Podeszwa
1,2,Kevin Leintz,134,4,Justin Schoonmaker
1,2,Justin Schoonmaker,203,7,Kevin Leintz
1,2,Jeffrey Post,40,3,Andrew Graber
